objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
roos_068,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg17b.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg17b.jpg,/objects/small/pa1_pg17b_sm.jpg,/objects/thumbs/pa1_pg17b_th.jpg
roos_069,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg17c.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg17c.jpg,/objects/small/pa1_pg17c_sm.jpg,/objects/thumbs/pa1_pg17c_th.jpg
roos_070,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg17d.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg17d.jpg,/objects/small/pa1_pg17d_sm.jpg,/objects/thumbs/pa1_pg17d_th.jpg
roos_071,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg18.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg18.jpeg,/objects/small/pa1_pg18_sm.jpg,/objects/thumbs/pa1_pg18_th.jpg
roos_072,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg19.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg19.jpeg,/objects/small/pa1_pg19_sm.jpg,/objects/thumbs/pa1_pg19_th.jpg
roos_073,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg20.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg20.jpeg,/objects/small/pa1_pg20_sm.jpg,/objects/thumbs/pa1_pg20_th.jpg
roos_074,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg21.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg21.jpeg,/objects/small/pa1_pg21_sm.jpg,/objects/thumbs/pa1_pg21_th.jpg
roos_075,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg22.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg22.jpeg,/objects/small/pa1_pg22_sm.jpg,/objects/thumbs/pa1_pg22_th.jpg
roos_076,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg23.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg23.jpeg,/objects/small/pa1_pg23_sm.jpg,/objects/thumbs/pa1_pg23_th.jpg
roos_077,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg24.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg24.jpeg,/objects/small/pa1_pg24_sm.jpg,/objects/thumbs/pa1_pg24_th.jpg
roos_078,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg25.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg25.jpeg,/objects/small/pa1_pg25_sm.jpg,/objects/thumbs/pa1_pg25_th.jpg
roos_079,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg26.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg26.jpeg,/objects/small/pa1_pg26_sm.jpg,/objects/thumbs/pa1_pg26_th.jpg
roos_080,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg27.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg27.jpeg,/objects/small/pa1_pg27_sm.jpg,/objects/thumbs/pa1_pg27_th.jpg
roos_081,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg28.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg28.jpeg,/objects/small/pa1_pg28_sm.jpg,/objects/thumbs/pa1_pg28_th.jpg
roos_082,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg29.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg29.jpeg,/objects/small/pa1_pg29_sm.jpg,/objects/thumbs/pa1_pg29_th.jpg
roos_083,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg30.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg30.jpeg,/objects/small/pa1_pg30_sm.jpg,/objects/thumbs/pa1_pg30_th.jpg
roos_084,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg31.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg31.jpeg,/objects/small/pa1_pg31_sm.jpg,/objects/thumbs/pa1_pg31_th.jpg
roos_085,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg32.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg32.jpeg,/objects/small/pa1_pg32_sm.jpg,/objects/thumbs/pa1_pg32_th.jpg
roos_086,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg33.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg33.jpeg,/objects/small/pa1_pg33_sm.jpg,/objects/thumbs/pa1_pg33_th.jpg
roos_087,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg34.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg34.jpeg,/objects/small/pa1_pg34_sm.jpg,/objects/thumbs/pa1_pg34_th.jpg
roos_088,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg35.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg35.jpeg,/objects/small/pa1_pg35_sm.jpg,/objects/thumbs/pa1_pg35_th.jpg
roos_089,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg36.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg36.jpeg,/objects/small/pa1_pg36_sm.jpg,/objects/thumbs/pa1_pg36_th.jpg
roos_090,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg37.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg37.jpeg,/objects/small/pa1_pg37_sm.jpg,/objects/thumbs/pa1_pg37_th.jpg
roos_091,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg38.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg38.jpeg,/objects/small/pa1_pg38_sm.jpg,/objects/thumbs/pa1_pg38_th.jpg
roos_092,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg39.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg39.jpeg,/objects/small/pa1_pg39_sm.jpg,/objects/thumbs/pa1_pg39_th.jpg
roos_093,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg40.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg40.jpeg,/objects/small/pa1_pg40_sm.jpg,/objects/thumbs/pa1_pg40_th.jpg
roos_094,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg41.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg41.jpeg,/objects/small/pa1_pg41_sm.jpg,/objects/thumbs/pa1_pg41_th.jpg
roos_095,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg42.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg42.jpeg,/objects/small/pa1_pg42_sm.jpg,/objects/thumbs/pa1_pg42_th.jpg
roos_096,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg43.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg43.jpeg,/objects/small/pa1_pg43_sm.jpg,/objects/thumbs/pa1_pg43_th.jpg
roos_097,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg44.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg44.jpeg,/objects/small/pa1_pg44_sm.jpg,/objects/thumbs/pa1_pg44_th.jpg
roos_098,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg45.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg45.jpeg,/objects/small/pa1_pg45_sm.jpg,/objects/thumbs/pa1_pg45_th.jpg
roos_099,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg46.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg46.jpeg,/objects/small/pa1_pg46_sm.jpg,/objects/thumbs/pa1_pg46_th.jpg
roos_100,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_pg47.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_pg47.jpeg,/objects/small/pa1_pg47_sm.jpg,/objects/thumbs/pa1_pg47_th.jpg
roos_101,roos_044,[photo album 1],Gretel Marx Roos,1930-1934,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa1_backcover.jpeg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa1_backcover.jpeg,/objects/small/pa1_backcover_sm.jpg,/objects/thumbs/pa1_backcover_th.jpg
roos_102,,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_frontcover.jpg,Image;StillImage,compound_object,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,compound_object,/objects/pa3_frontcover.jpeg,/objects/small/pa3_frontcover_sm.jpg,/objects/thumbs/pa3_frontcover_th.jpg
roos_103,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_frontcoverinside.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_frontcoverinside.jpeg,/objects/small/pa3_frontcoverinside_sm.jpg,/objects/thumbs/pa3_frontcoverinside_th.jpg
roos_104,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg01.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg01.jpeg,/objects/small/pa3_pg01_sm.jpg,/objects/thumbs/pa3_pg01_th.jpg
roos_105,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg02.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg02.jpeg,/objects/small/pa3_pg02_sm.jpg,/objects/thumbs/pa3_pg02_th.jpg
roos_106,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg03.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg03.jpeg,/objects/small/pa3_pg03_sm.jpg,/objects/thumbs/pa3_pg03_th.jpg
roos_107,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg04.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg04.jpeg,/objects/small/pa3_pg04_sm.jpg,/objects/thumbs/pa3_pg04_th.jpg
roos_108,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg05.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg05.jpeg,/objects/small/pa3_pg05_sm.jpg,/objects/thumbs/pa3_pg05_th.jpg
roos_109,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg06.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg06.jpeg,/objects/small/pa3_pg06_sm.jpg,/objects/thumbs/pa3_pg06_th.jpg
roos_110,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg07.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg07.jpeg,/objects/small/pa3_pg07_sm.jpg,/objects/thumbs/pa3_pg07_th.jpg
roos_111,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg08.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg08.jpeg,/objects/small/pa3_pg08_sm.jpg,/objects/thumbs/pa3_pg08_th.jpg
roos_112,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg09.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg09.jpeg,/objects/small/pa3_pg09_sm.jpg,/objects/thumbs/pa3_pg09_th.jpg
roos_113,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg10.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg10.jpeg,/objects/small/pa3_pg10_sm.jpg,/objects/thumbs/pa3_pg10_th.jpg
roos_114,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg11.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg11.jpeg,/objects/small/pa3_pg11_sm.jpg,/objects/thumbs/pa3_pg11_th.jpg
roos_115,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg12.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg12.jpeg,/objects/small/pa3_pg12_sm.jpg,/objects/thumbs/pa3_pg12_th.jpg
roos_116,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg13.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg13.jpeg,/objects/small/pa3_pg13_sm.jpg,/objects/thumbs/pa3_pg13_th.jpg
roos_117,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg14.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg14.jpeg,/objects/small/pa3_pg14_sm.jpg,/objects/thumbs/pa3_pg14_th.jpg
roos_118,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg15.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg15.jpeg,/objects/small/pa3_pg15_sm.jpg,/objects/thumbs/pa3_pg15_th.jpg
roos_119,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg16.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg16.jpeg,/objects/small/pa3_pg16_sm.jpg,/objects/thumbs/pa3_pg16_th.jpg
roos_120,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg17.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg17.jpeg,/objects/small/pa3_pg17_sm.jpg,/objects/thumbs/pa3_pg17_th.jpg
roos_121,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg18.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg18.jpeg,/objects/small/pa3_pg18_sm.jpg,/objects/thumbs/pa3_pg18_th.jpg
roos_122,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg19.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg19.jpeg,/objects/small/pa3_pg19_sm.jpg,/objects/thumbs/pa3_pg19_th.jpg
roos_123,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg20.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg20.jpeg,/objects/small/pa3_pg20_sm.jpg,/objects/thumbs/pa3_pg20_th.jpg
roos_124,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg21.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg21.jpeg,/objects/small/pa3_pg21_sm.jpg,/objects/thumbs/pa3_pg21_th.jpg
roos_125,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg24.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg24.jpeg,/objects/small/pa3_pg24_sm.jpg,/objects/thumbs/pa3_pg24_th.jpg
roos_126,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg25.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg25.jpeg,/objects/small/pa3_pg25_sm.jpg,/objects/thumbs/pa3_pg25_th.jpg
roos_127,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg26.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg26.jpeg,/objects/small/pa3_pg26_sm.jpg,/objects/thumbs/pa3_pg26_th.jpg
roos_128,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_pg27.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_pg27.jpeg,/objects/small/pa3_pg27_sm.jpg,/objects/thumbs/pa3_pg27_th.jpg
roos_128,roos_102,[photo album 3],Gretel Marx Roos,1927-1930,,"Family life, Flonheim, ","Flonheim, Germany",49.7845826,8.0409501,Gretel Marx Roos Archive,pa3_backcover.jpg,Image;StillImage,image/jpg,eng,In-Copyright,http://rightsstatements.org/vocab/InC/1.0/,image,/objects/pa3_backcover.jpg,/objects/small/pa3_backcover_sm.jpg,/objects/thumbs/pa3_backcover_th.jpg
sunset1,,,Carolyn Faber,1981,,"sunset, Chicago","Chicago, Illinois",42.0006,87.6926,Carolyn Faber Photos,sunset1,Image;StillImage,image/jpg,eng,In-Copyright,,image,/objects/sunset2.jpg,/objects/small/sunset1_sm.jpg,objects/thumbs/sunset1_th.jpg
sunset2,,,Carolyn Faber,1981,,"sunset, Chicago","Chicago, Illinois",42.0006,87.6926,Carolyn Faber Photos,sunset2,Image;StillImage,image/jpg,eng,In-Copyright,,image,/objects/sunset1.jpg,/objects/small/sunset2_sm.jpg,objects/thumbs/sunset2_th.jpg
